1|10164815530005116106P|0020|00108|2025-10-09|M|1016183240|0005116106|BEP|2023-09-15|A|000000000000000|C|3289977             |HECTOR.MORA@CAPGEMINI.COM                         |SEGUROS VIBANCO                                             |USREJEC1@BANORTE.COM                              |SEGUROS VIBANCO                                             |MOSH760122HDFRNC00|1016481553|N| |                    |
2|10164815530005116106P|0020|00001|A|4189281061216470|N|ANDRES ANDRES      |ANDRES PRUEBA            |ANDRES              |PRUEBA              |SEGUROS VIBANCO    |1029|                                                                                                                                                                                                                                           |
2|10164815530005116106P|0020|00002|A|4189281061216488|N|ANDRES ANDRES      |ANDRES PRUEBA            |ANDRES              |PRUEBA              |SEGUROS VIBANCO    |1029|                                                                                                                                                                                                                                           |
2|10164815530005116106P|0020|00003|A|4189281061216496|N|ANDRES ANDRES      |ANDRES PRUEBA            |ANDRES              |PRUEBA              |SEGUROS VIBANCO    |1029|                                                                                                                                                                                                                                           |
2|10164815530005116106P|0020|00004|A|4189281061216504|N|ANDRES ANDRES      |ANDRES PRUEBA            |ANDRES              |PRUEBA              |SEGUROS VIBANCO    |1029|                                                                                                                                                                                                                                           |
2|10164815530005116106P|0020|00005|A|4189281061216512|N|ANDRES ANDRES      |ANDRES PRUEBA            |ANDRES              |PRUEBA              |SEGUROS VIBANCO    |1029|                                                                                                                                                                                                                                           |
2|10164815530005116106P|0020|00006|A|4189281061216520|N|ANDRES ANDRES      |ANDRES PRUEBA            |ANDRES              |PRUEBA              |SEGUROS VIBANCO    |1029|                                                                                                                                                                                                                                           |
2|10164815530005116106P|0020|00007|A|4189281061216538|N|ANDRES ANDRES      |ANDRES PRUEBA            |ANDRES              |PRUEBA              |SEGUROS VIBANCO    |1029|                                                                                                                                                                                                                                           |
2|10164815530005116106P|0020|00008|A|4189281061216546|N|ANDRES ANDRES      |ANDRES PRUEBA            |ANDRES              |PRUEBA              |SEGUROS VIBANCO    |1029|                                                                                                                                                                                                                                           |
2|10164815530005116106P|0020|00009|A|4189281061216553|N|ANDRES ANDRES      |ANDRES PRUEBA            |ANDRES              |PRUEBA              |SEGUROS VIBANCO    |1029|                                                                                                                                                                                                                                           |
2|10164815530005116106P|0020|00010|A|4189281061216561|N|ANDRES ANDRES      |ANDRES PRUEBA            |ANDRES              |PRUEBA              |SEGUROS VIBANCO    |1029|                                                                                                                                                                                                                                           |
2|10164815530005116106P|0020|00011|A|4189281061216579|N|ANDRES ANDRES      |ANDRES PRUEBA            |ANDRES              |PRUEBA              |SEGUROS VIBANCO    |1029|                                                                                                                                                                                                                                           |
2|10164815530005116106P|0020|00012|A|4189281061216587|N|ANDRES ANDRES      |ANDRES PRUEBA            |ANDRES              |PRUEBA              |SEGUROS VIBANCO    |1029|                                                                                                                                                                                                                                           |
2|10164815530005116106P|0020|00013|A|4189281061216595|N|ANDRES ANDRES      |ANDRES PRUEBA            |ANDRES              |PRUEBA              |SEGUROS VIBANCO    |1029|                                                                                                                                                                                                                                           |
2|10164815530005116106P|0020|00014|A|4189281061216603|N|ANDRES ANDRES      |ANDRES PRUEBA            |ANDRES              |PRUEBA              |SEGUROS VIBANCO    |1029|                                                                                                                                                                                                                                           |
2|10164815530005116106P|0020|00015|A|4189281061216611|N|ANDRES ANDRES      |ANDRES PRUEBA            |ANDRES              |PRUEBA              |SEGUROS VIBANCO    |1029|                                                                                                                                                                                                                                           |
2|10164815530005116106P|0020|00016|A|4189281061216629|N|ANDRES ANDRES      |ANDRES PRUEBA            |ANDRES              |PRUEBA              |SEGUROS VIBANCO    |1029|                                                                                                                                                                                                                                           |
2|10164815530005116106P|0020|00017|A|4189281061216637|N|ANDRES ANDRES      |ANDRES PRUEBA            |ANDRES              |PRUEBA              |SEGUROS VIBANCO    |1029|                                                                                                                                                                                                                                           |
2|10164815530005116106P|0020|00018|A|4189281061216645|N|ANDRES ANDRES      |ANDRES PRUEBA            |ANDRES              |PRUEBA              |SEGUROS VIBANCO    |1029|                                                                                                                                                                                                                                           |
2|10164815530005116106P|0020|00019|A|4189281061216652|N|ANDRES ANDRES      |ANDRES PRUEBA            |ANDRES              |PRUEBA              |SEGUROS VIBANCO    |1029|                                                                                                                                                                                                                                           |
2|10164815530005116106P|0020|00020|A|4189281061216660|N|ANDRES ANDRES      |ANDRES PRUEBA            |ANDRES              |PRUEBA              |SEGUROS VIBANCO    |1029|                                                                                                                                                                                                                                           |
2|10164815530005116106P|0020|00021|A|4189281061216678|N|ANDRES ANDRES      |ANDRES PRUEBA            |ANDRES              |PRUEBA              |SEGUROS VIBANCO    |1029|                                                                                                                                                                                                                                           |
2|10164815530005116106P|0020|00022|A|4189281061216686|N|ANDRES ANDRES      |ANDRES PRUEBA            |ANDRES              |PRUEBA              |SEGUROS VIBANCO    |1029|                                                                                                                                                                                                                                           |
2|10164815530005116106P|0020|00023|A|4189281061216694|N|ANDRES ANDRES      |ANDRES PRUEBA            |ANDRES              |PRUEBA              |SEGUROS VIBANCO    |1029|                                                                                                                                                                                                                                           |
2|10164815530005116106P|0020|00024|A|4189281061216702|N|ANDRES ANDRES      |ANDRES PRUEBA            |ANDRES              |PRUEBA              |SEGUROS VIBANCO    |1029|                                                                                                                                                                                                                                           |
2|10164815530005116106P|0020|00025|A|4189281061216710|N|ANDRES ANDRES      |ANDRES PRUEBA            |ANDRES              |PRUEBA              |SEGUROS VIBANCO    |1029|                                                                                                                                                                                                                                           |
2|10164815530005116106P|0020|00026|A|4189281061216728|N|ANDRES ANDRES      |ANDRES PRUEBA            |ANDRES              |PRUEBA              |SEGUROS VIBANCO    |1029|                                                                                                                                                                                                                                           |
2|10164815530005116106P|0020|00027|A|4189281061216736|N|ANDRES ANDRES      |ANDRES PRUEBA            |ANDRES              |PRUEBA              |SEGUROS VIBANCO    |1029|                                                                                                                                                                                                                                           |
2|10164815530005116106P|0020|00028|A|4189281061216744|N|ANDRES ANDRES      |ANDRES PRUEBA            |ANDRES              |PRUEBA              |SEGUROS VIBANCO    |1029|                                                                                                                                                                                                                                           |
2|10164815530005116106P|0020|00029|A|4189281061216751|N|ANDRES ANDRES      |ANDRES PRUEBA            |ANDRES              |PRUEBA              |SEGUROS VIBANCO    |1029|                                                                                                                                                                                                                                           |
2|10164815530005116106P|0020|00030|A|4189281061216769|N|ANDRES ANDRES      |ANDRES PRUEBA            |ANDRES              |PRUEBA              |SEGUROS VIBANCO    |1029|                                                                                                                                                                                                                                           |
2|10164815530005116106P|0020|00031|A|4189281061216777|N|ANDRES ANDRES      |ANDRES PRUEBA            |ANDRES              |PRUEBA              |SEGUROS VIBANCO    |1029|                                                                                                                                                                                                                                           |
2|10164815530005116106P|0020|00032|A|4189281061216785|N|ANDRES ANDRES      |ANDRES PRUEBA            |ANDRES              |PRUEBA              |SEGUROS VIBANCO    |1029|                                                                                                                                                                                                                                           |
2|10164815530005116106P|0020|00033|A|4189281061216793|N|ANDRES ANDRES      |ANDRES PRUEBA            |ANDRES              |PRUEBA              |SEGUROS VIBANCO    |1029|                                                                                                                                                                                                                                           |
2|10164815530005116106P|0020|00034|A|4189281061216801|N|ANDRES ANDRES      |ANDRES PRUEBA            |ANDRES              |PRUEBA              |SEGUROS VIBANCO    |1029|                                                                                                                                                                                                                                           |
2|10164815530005116106P|0020|00035|A|4189281061216819|N|ANDRES ANDRES      |ANDRES PRUEBA            |ANDRES              |PRUEBA              |SEGUROS VIBANCO    |1029|                                                                                                                                                                                                                                           |
2|10164815530005116106P|0020|00036|A|4189281061216827|N|ANDRES ANDRES      |ANDRES PRUEBA            |ANDRES              |PRUEBA              |SEGUROS VIBANCO    |1029|                                                                                                                                                                                                                                           |
2|10164815530005116106P|0020|00037|A|4189281061216835|N|ANDRES ANDRES      |ANDRES PRUEBA            |ANDRES              |PRUEBA              |SEGUROS VIBANCO    |1029|                                                                                                                                                                                                                                           |
2|10164815530005116106P|0020|00038|A|4189281061216843|N|ANDRES ANDRES      |ANDRES PRUEBA            |ANDRES              |PRUEBA              |SEGUROS VIBANCO    |1029|                                                                                                                                                                                                                                           |
2|10164815530005116106P|0020|00039|A|4189281061216850|N|ANDRES ANDRES      |ANDRES PRUEBA            |ANDRES              |PRUEBA              |SEGUROS VIBANCO    |1029|                                                                                                                                                                                                                                           |
2|10164815530005116106P|0020|00040|A|4189281061216868|N|ANDRES ANDRES      |ANDRES PRUEBA            |ANDRES              |PRUEBA              |SEGUROS VIBANCO    |1029|                                                                                                                                                                                                                                           |
2|10164815530005116106P|0020|00041|A|4189281061216876|N|ANDRES ANDRES      |ANDRES PRUEBA            |ANDRES              |PRUEBA              |SEGUROS VIBANCO    |1029|                                                                                                                                                                                                                                           |
2|10164815530005116106P|0020|00042|A|4189281061216884|N|ANDRES ANDRES      |ANDRES PRUEBA            |ANDRES              |PRUEBA              |SEGUROS VIBANCO    |1029|                                                                                                                                                                                                                                           |
2|10164815530005116106P|0020|00043|A|4189281061216892|N|ANDRES ANDRES      |ANDRES PRUEBA            |ANDRES              |PRUEBA              |SEGUROS VIBANCO    |1029|                                                                                                                                                                                                                                           |
2|10164815530005116106P|0020|00044|A|4189281061216900|N|ANDRES ANDRES      |ANDRES PRUEBA            |ANDRES              |PRUEBA              |SEGUROS VIBANCO    |1029|                                                                                                                                                                                                                                           |
2|10164815530005116106P|0020|00045|A|4189281061216918|N|ANDRES ANDRES      |ANDRES PRUEBA            |ANDRES              |PRUEBA              |SEGUROS VIBANCO    |1029|                                                                                                                                                                                                                                           |
2|10164815530005116106P|0020|00046|A|4189281061216926|N|ANDRES ANDRES      |ANDRES PRUEBA            |ANDRES              |PRUEBA              |SEGUROS VIBANCO    |1029|                                                                                                                                                                                                                                           |
2|10164815530005116106P|0020|00047|A|4189281061216934|N|ANDRES ANDRES      |ANDRES PRUEBA            |ANDRES              |PRUEBA              |SEGUROS VIBANCO    |1029|                                                                                                                                                                                                                                           |
2|10164815530005116106P|0020|00048|A|4189281061216942|N|ANDRES ANDRES      |ANDRES PRUEBA            |ANDRES              |PRUEBA              |SEGUROS VIBANCO    |1029|                                                                                                                                                                                                                                           |
2|10164815530005116106P|0020|00049|A|4189281061216959|N|ANDRES ANDRES      |ANDRES PRUEBA            |ANDRES              |PRUEBA              |SEGUROS VIBANCO    |1029|                                                                                                                                                                                                                                           |
2|10164815530005116106P|0020|00050|A|4189281061216967|N|ANDRES ANDRES      |ANDRES PRUEBA            |ANDRES              |PRUEBA              |SEGUROS VIBANCO    |1029|                                                                                                                                                                                                                                           |
2|10164815530005116106P|0020|00051|A|4189281061216975|N|ANDRES ANDRES      |ANDRES PRUEBA            |ANDRES              |PRUEBA              |SEGUROS VIBANCO    |1029|                                                                                                                                                                                                                                           |
2|10164815530005116106P|0020|00052|A|4189281061216983|N|ANDRES ANDRES      |ANDRES PRUEBA            |ANDRES              |PRUEBA              |SEGUROS VIBANCO    |1029|                                                                                                                                                                                                                                           |
2|10164815530005116106P|0020|00053|A|4189281061216991|N|ANDRES ANDRES      |ANDRES PRUEBA            |ANDRES              |PRUEBA              |SEGUROS VIBANCO    |1029|                                                                                                                                                                                                                                           |
2|10164815530005116106P|0020|00054|A|4189281061217007|N|ANDRES ANDRES      |ANDRES PRUEBA            |ANDRES              |PRUEBA              |SEGUROS VIBANCO    |1029|                                                                                                                                                                                                                                           |
2|10164815530005116106P|0020|00055|A|4189281061217015|N|ANDRES ANDRES      |ANDRES PRUEBA            |ANDRES              |PRUEBA              |SEGUROS VIBANCO    |1029|                                                                                                                                                                                                                                           |
2|10164815530005116106P|0020|00056|A|4189281061217023|N|ANDRES ANDRES      |ANDRES PRUEBA            |ANDRES              |PRUEBA              |SEGUROS VIBANCO    |1029|                                                                                                                                                                                                                                           |
2|10164815530005116106P|0020|00057|A|4189281061217031|N|ANDRES ANDRES      |ANDRES PRUEBA            |ANDRES              |PRUEBA              |SEGUROS VIBANCO    |1029|                                                                                                                                                                                                                                           |
2|10164815530005116106P|0020|00058|A|4189281061217049|N|ANDRES ANDRES      |ANDRES PRUEBA            |ANDRES              |PRUEBA              |SEGUROS VIBANCO    |1029|                                                                                                                                                                                                                                           |
2|10164815530005116106P|0020|00059|A|4189281061217056|N|ANDRES ANDRES      |ANDRES PRUEBA            |ANDRES              |PRUEBA              |SEGUROS VIBANCO    |1029|                                                                                                                                                                                                                                           |
2|10164815530005116106P|0020|00060|A|4189281061217064|N|ANDRES ANDRES      |ANDRES PRUEBA            |ANDRES              |PRUEBA              |SEGUROS VIBANCO    |1029|                                                                                                                                                                                                                                           |
2|10164815530005116106P|0020|00061|A|4189281061217072|N|ANDRES ANDRES      |ANDRES PRUEBA            |ANDRES              |PRUEBA              |SEGUROS VIBANCO    |1029|                                                                                                                                                                                                                                           |
2|10164815530005116106P|0020|00062|A|4189281061217080|N|ANDRES ANDRES      |ANDRES PRUEBA            |ANDRES              |PRUEBA              |SEGUROS VIBANCO    |1029|                                                                                                                                                                                                                                           |
2|10164815530005116106P|0020|00063|A|4189281061217098|N|ANDRES ANDRES      |ANDRES PRUEBA            |ANDRES              |PRUEBA              |SEGUROS VIBANCO    |1029|                                                                                                                                                                                                                                           |
2|10164815530005116106P|0020|00064|A|4189281061217106|N|ANDRES ANDRES      |ANDRES PRUEBA            |ANDRES              |PRUEBA              |SEGUROS VIBANCO    |1029|                                                                                                                                                                                                                                           |
2|10164815530005116106P|0020|00065|A|4189281061217114|N|ANDRES ANDRES      |ANDRES PRUEBA            |ANDRES              |PRUEBA              |SEGUROS VIBANCO    |1029|                                                                                                                                                                                                                                           |
2|10164815530005116106P|0020|00066|A|4189281061217122|N|ANDRES ANDRES      |ANDRES PRUEBA            |ANDRES              |PRUEBA              |SEGUROS VIBANCO    |1029|                                                                                                                                                                                                                                           |
2|10164815530005116106P|0020|00067|A|4189281061217130|N|ANDRES ANDRES      |ANDRES PRUEBA            |ANDRES              |PRUEBA              |SEGUROS VIBANCO    |1029|                                                                                                                                                                                                                                           |
2|10164815530005116106P|0020|00068|A|4189281061217148|N|ANDRES ANDRES      |ANDRES PRUEBA            |ANDRES              |PRUEBA              |SEGUROS VIBANCO    |1029|                                                                                                                                                                                                                                           |
2|10164815530005116106P|0020|00069|A|4189281061217155|N|ANDRES ANDRES      |ANDRES PRUEBA            |ANDRES              |PRUEBA              |SEGUROS VIBANCO    |1029|                                                                                                                                                                                                                                           |
2|10164815530005116106P|0020|00070|A|4189281061217163|N|ANDRES ANDRES      |ANDRES PRUEBA            |ANDRES              |PRUEBA              |SEGUROS VIBANCO    |1029|                                                                                                                                                                                                                                           |
2|10164815530005116106P|0020|00071|A|4189281061217171|N|ANDRES ANDRES      |ANDRES PRUEBA            |ANDRES              |PRUEBA              |SEGUROS VIBANCO    |1029|                                                                                                                                                                                                                                           |
2|10164815530005116106P|0020|00072|A|4189281061217189|N|ANDRES ANDRES      |ANDRES PRUEBA            |ANDRES              |PRUEBA              |SEGUROS VIBANCO    |1029|                                                                                                                                                                                                                                           |
2|10164815530005116106P|0020|00073|A|4189281061217197|N|ANDRES ANDRES      |ANDRES PRUEBA            |ANDRES              |PRUEBA              |SEGUROS VIBANCO    |1029|                                                                                                                                                                                                                                           |
2|10164815530005116106P|0020|00074|A|4189281061217205|N|ANDRES ANDRES      |ANDRES PRUEBA            |ANDRES              |PRUEBA              |SEGUROS VIBANCO    |1029|                                                                                                                                                                                                                                           |
2|10164815530005116106P|0020|00075|A|4189281061217213|N|ANDRES ANDRES      |ANDRES PRUEBA            |ANDRES              |PRUEBA              |SEGUROS VIBANCO    |1029|                                                                                                                                                                                                                                           |
2|10164815530005116106P|0020|00076|A|4189281061217221|N|ANDRES ANDRES      |ANDRES PRUEBA            |ANDRES              |PRUEBA              |SEGUROS VIBANCO    |1029|                                                                                                                                                                                                                                           |
2|10164815530005116106P|0020|00077|A|4189281061217239|N|ANDRES ANDRES      |ANDRES PRUEBA            |ANDRES              |PRUEBA              |SEGUROS VIBANCO    |1029|                                                                                                                                                                                                                                           |
2|10164815530005116106P|0020|00078|A|4189281061217247|N|ANDRES ANDRES      |ANDRES PRUEBA            |ANDRES              |PRUEBA              |SEGUROS VIBANCO    |1029|                                                                                                                                                                                                                                           |
